relevance_score,completeness_score,hallucination_detected,latency_ms,estimated_tokens,estimated_cost_usd,keywords_from_context,num_context_chunks,num_response_sentences,index,num_hallucinated_sentences
0.75,0.8333,False,,8,1.6e-05,"['how', 'you', 'doing', 'fine', 'about', 'yourself']",2,2,0,0
0.7957,0.5,False,,9,1.8e-05,"['fine', 'how', 'about', 'yourself', 'pretty', 'good', 'thanks', 'asking']",2,2,1,0
0.7132,0.5,False,,9,1.8e-05,"['pretty', 'good', 'thanks', 'asking', 'problem', 'how', 'have', 'you']",2,2,2,0
0.8414,0.625,False,,9,1.8e-05,"['you', 'been', 'problem', 'how', 'have', 'great', 'what', 'about']",2,2,3,0
0.7275,0.5,False,,12,2.4e-05,"['been', 'great', 'what', 'about', 'you', 'good', 'school', 'right']",2,2,4,0
1.0,0.4286,False,,7,1.4e-05,"['school', 'been', 'good', 'right', 'now', 'what', 'you']",2,1,5,0
1.0,0.25,False,,6,1.2e-05,"['what', 'school', 'you', 'pcc']",2,1,6,0
1.0,0.75,False,,6,1.2e-05,"['pcc', 'you', 'like', 'there']",2,1,7,0
0.8574,0.5714,False,,11,2.2e-05,"['you', 'like', 'there', 'okay', 'really', 'big', 'campus']",2,2,8,0
1.0,0.4286,False,,5,1e-05,"['okay', 'really', 'big', 'campus', 'good', 'luck', 'school']",2,1,9,0
1.0,0.5714,False,,5,1e-05,"['good', 'luck', 'school', 'thank', 'you', 'very', 'much']",2,1,10,0
0.8647,0.8333,False,,9,1.8e-05,"['how', 'going', 'doing', 'well', 'about', 'you']",2,2,11,0
1.0,0.375,False,,5,1e-05,"['doing', 'well', 'how', 'about', 'you', 'never', 'better', 'thanks']",2,1,12,0
1.0,0.625,False,,7,1.4e-05,"['never', 'better', 'thanks', 'how', 'have', 'you', 'been', 'lately']",2,1,13,0
0.8876,0.625,True,,9,1.8e-05,"['you', 'been', 'how', 'have', 'lately', 'actually', 'pretty', 'good']",2,2,14,1
1.0,0.5,False,,8,1.6e-05,"['actually', 'been', 'pretty', 'good', 'you', 'school', 'right', 'now']",2,1,15,0
1.0,0.5714,False,,6,1.2e-05,"['school', 'actually', 'right', 'now', 'which', 'you', 'attend']",2,1,16,0
1.0,0.625,False,,8,1.6e-05,"['which', 'school', 'you', 'attend', 'attending', 'pcc', 'right', 'now']",2,1,17,0
1.0,0.4286,False,,6,1.2e-05,"['attending', 'pcc', 'right', 'now', 'you', 'enjoying', 'there']",2,1,18,0
0.6941,0.7143,False,,13,2.6e-05,"['there', 'you', 'enjoying', 'not', 'bad', 'lot', 'people']",2,2,19,0
1.0,0.2857,False,,5,1e-05,"['there', 'not', 'bad', 'lot', 'people', 'good', 'luck']",2,1,20,0
1.0,0.3333,False,,2,4e-06,"['good', 'luck', 'thanks']",2,1,21,0
0.8345,0.7143,False,,9,1.8e-05,"['you', 'doing', 'how', 'today', 'great', 'what', 'about']",2,2,22,0
1.0,0.5,False,,8,1.6e-05,"['you', 'doing', 'great', 'what', 'about', 'absolutely', 'lovely', 'thank']",2,1,23,0
1.0,0.5714,False,,7,1.4e-05,"['you', 'absolutely', 'lovely', 'thank', 'everything', 'been', 'good']",2,1,24,0
0.8383,0.75,False,,10,2e-05,"['been', 'everything', 'good', 'you', 'haven', 'better', 'how', 'about']",2,2,25,0
1.0,0.25,False,,5,1e-05,"['haven', 'been', 'better', 'how', 'about', 'yourself', 'started', 'school']",2,1,26,0
